#idx   R   G   B
0 0 0 0
1 94 0 167
2 82 0 177
3 65 0 189
4 47 0 199
5 27 0 208
6 4 0 218
7 0 18 228
8 0 47 218
9 0 74 208
10 0 97 199
11 0 110 184
12 0 119 168
13 0 125 153
14 0 128 138
15 0 135 117
16 0 144 106
17 0 153 91
18 0 162 73
19 0 170 54
20 0 179 32
21 0 186 8
22 18 195 0
23 47 204 0
24 78 213 0
25 112 221 0
26 148 230 0
27 186 239 0
28 227 246 0
29 241 250 0
30 251 247 0
31 255 239 0
32 255 218 0
33 255 199 0
34 255 180 0
35 255 160 0
36 255 139 0
37 255 120 0
38 255 100 0
39 255 79 0
40 255 60 0
41 255 40 0
42 255 27 0
43 255 13 0
44 255 0 0
45 233 0 0
46 213 0 0
47 191 0 0
48 170 0 0
49 148 0 0
50 128 0 0
51 128 0 0
52 128 0 0
53 128 0 0
54 128 0 0
55 128 0 0
56 128 0 0
57 128 0 0
58 128 0 0
59 128 0 0
60 128 0 0
61 128 0 0
62 128 0 0
63 128 0 0
64 128 0 0
65 128 0 0
66 128 0 0
67 128 0 0
68 128 0 0
69 128 0 0
70 128 0 0
71 128 0 0
72 128 0 0
73 128 0 0
74 128 0 0
75 128 0 0
76 128 0 0
77 128 0 0
78 128 0 0
79 128 0 0
80 128 0 0
81 128 0 0
82 128 0 0
83 128 0 0
84 128 0 0
85 128 0 0
86 128 0 0
87 128 0 0
88 128 0 0
89 128 0 0
90 128 0 0
91 128 0 0
92 128 0 0
93 128 0 0
94 128 0 0
95 128 0 0
96 128 0 0
97 128 0 0
98 128 0 0
99 128 0 0
100 128 0 0
101 128 0 0
102 128 0 0
103 128 0 0
104 128 0 0
105 128 0 0
106 128 0 0
107 128 0 0
108 128 0 0
109 128 0 0
110 128 0 0
111 128 0 0
112 128 0 0
113 128 0 0
114 128 0 0
115 128 0 0
116 128 0 0
117 128 0 0
118 128 0 0
119 128 0 0
120 128 0 0
121 128 0 0
122 128 0 0
123 128 0 0
124 128 0 0
125 128 0 0
126 128 0 0
127 128 0 0
128 128 0 0
129 128 0 0
130 128 0 0
131 128 0 0
132 128 0 0
133 128 0 0
134 128 0 0
135 128 0 0
136 128 0 0
137 128 0 0
138 128 0 0
139 128 0 0
140 128 0 0
141 128 0 0
142 128 0 0
143 128 0 0
144 128 0 0
145 128 0 0
146 128 0 0
147 128 0 0
148 128 0 0
149 128 0 0
150 128 0 0
151 128 0 0
152 128 0 0
153 128 0 0
154 128 0 0
155 128 0 0
156 128 0 0
157 128 0 0
158 128 0 0
159 128 0 0
160 128 0 0
161 128 0 0
162 128 0 0
163 128 0 0
164 128 0 0
165 128 0 0
166 128 0 0
167 128 0 0
168 128 0 0
169 128 0 0
170 128 0 0
171 128 0 0
172 128 0 0
173 128 0 0
174 128 0 0
175 128 0 0
176 128 0 0
177 128 0 0
178 128 0 0
179 128 0 0
180 128 0 0
181 128 0 0
182 128 0 0
183 128 0 0
184 128 0 0
185 128 0 0
186 128 0 0
187 128 0 0
188 128 0 0
189 128 0 0
190 128 0 0
191 128 0 0
192 128 0 0
193 128 0 0
194 128 0 0
195 128 0 0
196 128 0 0
197 128 0 0
198 128 0 0
199 128 0 0
200 128 0 0
201 128 0 0
202 128 0 0
203 128 0 0
204 128 0 0
205 128 0 0
206 128 0 0
207 128 0 0
208 128 0 0
209 128 0 0
210 128 0 0
211 128 0 0
212 128 0 0
213 128 0 0
214 128 0 0
215 128 0 0
216 128 0 0
217 128 0 0
218 128 0 0
219 128 0 0
220 128 0 0
221 128 0 0
222 128 0 0
223 128 0 0
224 128 0 0
225 128 0 0
226 128 0 0
227 128 0 0
228 128 0 0
229 128 0 0
230 128 0 0
231 128 0 0
232 128 0 0
233 128 0 0
234 128 0 0
235 128 0 0
236 128 0 0
237 128 0 0
238 128 0 0
239 128 0 0
240 128 0 0
241 128 0 0
242 128 0 0
243 128 0 0
244 128 0 0
245 128 0 0
246 128 0 0
247 128 0 0
248 128 0 0
249 128 0 0
250 128 0 0
251 128 0 0
252 128 0 0
253 128 0 0
254 128 0 0
255 128 0 0
