#idx   R   G   B
      0     0     0  0
     1     0     0   255
     2     0     0   255
     3     0     0   255
     4     4     4   255
     5     4     4   255
     6     4     4   255
     7     4     4   255
     8     8     8   255
     9     8     8   255
    10     8     8   255
    11     8     8   255
    12    12    12   255
    13    12    12   255
    14    12    12   255
    15    12    12   255
    16    16    16   255
    17    16    16   255
    18    16    16   255
    19    16    16   255
    20    20    20   255
    21    20    20   255
    22    20    20   255
    23    20    20   255
    24    24    24   255
    25    24    24   255
    26    24    24   255
    27    24    24   255
    28    28    28   255
    29    28    28   255
    30    28    28   255
    31    28    28   255
    32    32    32   255
    33    32    32   255
    34    32    32   255
    35    32    32   255
    36    36    36   255
    37    36    36   255
    38    36    36   255
    39    36    36   255
    40    40    40   255
    41    40    40   255
    42    40    40   255
    43    40    40   255
    44    45    45   255
    45    45    45   255
    46    45    45   255
    47    45    45   255
    48    49    49   255
    49    49    49   255
    50    49    49   255
    51    49    49   255
    52    53    53   255
    53    53    53   255
    54    53    53   255
    55    53    53   255
    56    57    57   255
    57    57    57   255
    58    57    57   255
    59    57    57   255
    60    61    61   255
    61    61    61   255
    62    61    61   255
    63    61    61   255
    64    65    65   255
    65    65    65   255
    66    65    65   255
    67    65    65   255
    68    69    69   255
    69    69    69   255
    70    69    69   255
    71    69    69   255
    72    73    73   255
    73    73    73   255
    74    73    73   255
    75    73    73   255
    76    77    77   255
    77    77    77   255
    78    77    77   255
    79    77    77   255
    80    81    81   255
    81    81    81   255
    82    81    81   255
    83    81    81   255
    84    85    85   255
    85    85    85   255
    86    85    85   255
    87    85    85   255
    88    89    89   255
    89    89    89   255
    90    89    89   255
    91    89    89   255
    92    93    93   255
    93    93    93   255
    94    93    93   255
    95    93    93   255
    96    97    97   255
    97    97    97   255
    98    97    97   255
    99    97    97   255
   100   101   101   255
   101   101   101   255
   102   101   101   255
   103   101   101   255
   104   105   105   255
   105   105   105   255
   106   105   105   255
   107   105   105   255
   108   109   109   255
   109   109   109   255
   110   109   109   255
   111   109   109   255
   112   113   113   255
   113   113   113   255
   114   113   113   255
   115   113   113   255
   116   117   117   255
   117   117   117   255
   118   117   117   255
   119   117   117   255
   120   121   121   255
   121   121   121   255
   122   121   121   255
   123   121   121   255
   124   125   125   255
   125   125   125   255
   126   125   125   255
   127   125   125   255
   128   130   130   255
   129   130   130   255
   130   130   130   255
   131   130   130   255
   132   134   134   255
   133   134   134   255
   134   134   134   255
   135   134   134   255
   136   138   138   255
   137   138   138   255
   138   138   138   255
   139   138   138   255
   140   142   142   255
   141   142   142   255
   142   142   142   255
   143   142   142   255
   144   146   146   255
   145   146   146   255
   146   146   146   255
   147   146   146   255
   148   150   150   255
   149   150   150   255
   150   150   150   255
   151   150   150   255
   152   154   154   255
   153   154   154   255
   154   154   154   255
   155   154   154   255
   156   158   158   255
   157   158   158   255
   158   158   158   255
   159   158   158   255
   160   162   162   255
   161   162   162   255
   162   162   162   255
   163   162   162   255
   164   166   166   255
   165   166   166   255
   166   166   166   255
   167   166   166   255
   168   170   170   255
   169   170   170   255
   170   170   170   255
   171   170   170   255
   172   174   174   255
   173   174   174   255
   174   174   174   255
   175   174   174   255
   176   178   178   255
   177   178   178   255
   178   178   178   255
   179   178   178   255
   180   182   182   255
   181   182   182   255
   182   182   182   255
   183   182   182   255
   184   186   186   255
   185   186   186   255
   186   186   186   255
   187   186   186   255
   188   190   190   255
   189   190   190   255
   190   190   190   255
   191   190   190   255
   192   194   194   255
   193   194   194   255
   194   194   194   255
   195   194   194   255
   196   198   198   255
   197   198   198   255
   198   198   198   255
   199   198   198   255
   200   202   202   255
   201   202   202   255
   202   202   202   255
   203   202   202   255
   204   206   206   255
   205   206   206   255
   206   206   206   255
   207   206   206   255
   208   210   210   255
   209   210   210   255
   210   210   210   255
   211   210   210   255
   212   215   215   255
   213   215   215   255
   214   215   215   255
   215   215   215   255
   216   219   219   255
   217   219   219   255
   218   219   219   255
   219   219   219   255
   220   223   223   255
   221   223   223   255
   222   223   223   255
   223   223   223   255
   224   227   227   255
   225   227   227   255
   226   227   227   255
   227   227   227   255
   228   231   231   255
   229   231   231   255
   230   231   231   255
   231   231   231   255
   232   235   235   255
   233   235   235   255
   234   235   235   255
   235   235   235   255
   236   239   239   255
   237   239   239   255
   238   239   239   255
   239   239   239   255
   240   243   243   255
   241   243   243   255
   242   243   243   255
   243   243   243   255
   244   247   247   255
   245   247   247   255
   246   247   247   255
   247   247   247   255
   248   251   251   255
   249   251   251   255
   250   251   251   255
   251   251   251   255
   252   255   255   255
   253   255   255   255
   254   255   255   255
   255   255   255   255
