#idx   R   G   B
0 0 0 0
1 231 231 255
2 231 231 255
3 231 231 255
4 231 231 255
5 231 231 255
6 231 231 255
7 231 231 255
8 231 231 255
9 231 231 255
10 231 231 255
11 231 231 255
12 231 231 255
13 231 231 255
14 231 231 255
15 231 231 255
16 223 223 255
17 223 223 255
18 223 223 255
19 223 223 255
20 214 214 255
21 214 214 255
22 214 214 255
23 214 214 255
24 204 204 255
25 204 204 255
26 204 204 255
27 204 204 255
28 193 193 255
29 193 193 255
30 193 193 255
31 193 193 255
32 182 182 255
33 182 182 255
34 182 182 255
35 182 182 255
36 171 171 255
37 171 171 255
38 171 171 255
39 171 171 255
40 160 160 255
41 160 160 255
42 160 160 255
43 160 160 255
44 149 149 255
45 149 149 255
46 149 149 255
47 149 149 255
48 138 138 255
49 138 138 255
50 138 138 255
51 138 138 255
52 128 128 255
53 128 128 255
54 128 128 255
55 128 128 255
56 115 140 255
57 115 140 255
58 115 140 255
59 115 140 255
60 102 153 255
61 102 153 255
62 102 153 255
63 102 153 255
64 89 166 255
65 89 166 255
66 89 166 255
67 89 166 255
68 76 178 255
69 76 178 255
70 76 178 255
71 76 178 255
72 64 191 255
73 64 191 255
74 64 191 255
75 64 191 255
76 51 204 255
77 51 204 255
78 51 204 255
79 51 204 255
80 38 216 255
81 38 216 255
82 38 216 255
83 38 216 255
84 25 229 255
85 25 229 255
86 25 229 255
87 25 229 255
88 12 242 255
89 12 242 255
90 12 242 255
91 12 242 255
92 0 255 255
93 0 255 255
94 0 255 255
95 0 255 255
96 18 255 236
97 18 255 236
98 18 255 236
99 18 255 236
100 36 255 218
101 36 255 218
102 36 255 218
103 36 255 218
104 54 255 200
105 54 255 200
106 54 255 200
107 54 255 200
108 72 255 182
109 72 255 182
110 72 255 182
111 72 255 182
112 91 255 163
113 91 255 163
114 91 255 163
115 91 255 163
116 109 255 145
117 109 255 145
118 109 255 145
119 109 255 145
120 127 255 127
121 127 255 127
122 127 255 127
123 127 255 127
124 145 255 109
125 145 255 109
126 145 255 109
127 145 255 109
128 163 255 91
129 163 255 91
130 163 255 91
131 163 255 91
132 182 255 72
133 182 255 72
134 182 255 72
135 182 255 72
136 200 255 54
137 200 255 54
138 200 255 54
139 200 255 54
140 218 255 36
141 218 255 36
142 218 255 36
143 218 255 36
144 236 255 18
145 236 255 18
146 236 255 18
147 236 255 18
148 255 255 0
149 255 255 0
150 255 255 0
151 255 255 0
152 255 255 0
153 255 255 0
154 255 255 0
155 255 255 0
156 255 255 0
157 255 255 0
158 255 255 0
159 255 255 0
160 255 246 7
161 255 246 7
162 255 246 7
163 255 246 7
164 255 239 14
165 255 239 14
166 255 239 14
167 255 239 14
168 255 231 22
169 255 231 22
170 255 231 22
171 255 231 22
172 255 222 29
173 255 222 29
174 255 222 29
175 255 222 29
176 255 214 37
177 255 214 37
178 255 214 37
179 255 214 37
180 255 207 45
181 255 207 45
182 255 207 45
183 255 207 45
184 255 199 52
185 255 199 52
186 255 199 52
187 255 199 52
188 255 190 60
189 255 190 60
190 255 190 60
191 255 190 60
192 255 190 70
193 255 190 70
194 255 190 70
195 255 190 70
196 255 190 81
197 255 190 81
198 255 190 81
199 255 190 81
200 255 190 92
201 255 190 92
202 255 190 92
203 255 190 92
204 255 190 103
205 255 190 103
206 255 190 103
207 255 190 103
208 255 189 113
209 255 189 113
210 255 189 113
211 255 189 113
212 255 189 124
213 255 189 124
214 255 189 124
215 255 189 124
216 255 189 135
217 255 189 135
218 255 189 135
219 255 189 135
220 255 189 146
221 255 189 146
222 255 189 146
223 255 189 146
224 255 189 157
225 255 189 157
226 255 189 157
227 255 189 157
228 255 207 185
229 255 207 185
230 255 207 185
231 255 207 185
232 255 207 185
233 255 207 185
234 255 207 185
235 255 207 185
236 255 207 185
237 255 207 185
238 255 207 185
239 255 207 185
240 255 207 185
241 255 207 185
242 255 207 185
243 255 207 185
244 255 207 185
245 255 207 185
246 255 207 185
247 255 207 185
248 255 207 185
249 255 207 185
250 255 207 185
251 255 207 185
252 255 207 185
253 255 207 185
254 255 207 185
255 255 207 185
