#idx    R     G     B
  0     0     0     0
  1   255     0   252
  2   255     0   252
  3   255     0   252
  4   255     0   252
  5   255     0   252
  6   255     0   252
  7   255     0   252
  8   255     0   252
  9   255     0   252
 10   255     0   252
 11   255     0   252
 12   255     0   252
 13   206     0   253
 14   206     0   253
 15   206     0   253
 16   206     0   253
 17   206     0   253
 18   206     0   253
 19   206     0   253
 20   206     0   253
 21   206     0   253
 22   206     0   253
 23   206     0   253
 24   180     0   255
 25   180     0   255
 26   180     0   255
 27   180     0   255
 28   180     0   255
 29   180     0   255
 30   180     0   255
 31   180     0   255
 32   180     0   255
 33   180     0   255
 34   180     0   255
 35   154     0   255
 36   154     0   255
 37   154     0   255
 38   154     0   255
 39   154     0   255
 40   154     0   255
 41   154     0   255
 42   154     0   255
 43   154     0   255
 44   154     0   255
 45   154     0   255
 46   120     0   255
 47   120     0   255
 48   120     0   255
 49   120     0   255
 50   120     0   255
 51   120     0   255
 52   120     0   255
 53   120     0   255
 54   120     0   255
 55   120     0   255
 56   120     0   255
 57    84     0   255
 58    84     0   255
 59    84     0   255
 60    84     0   255
 61    84     0   255
 62    84     0   255
 63    84     0   255
 64    84     0   255
 65    84     0   255
 66    84     0   255
 67    84     0   255
 68     0    20   255
 69     0    20   255
 70     0    20   255
 71     0    20   255
 72     0    20   255
 73     0    20   255
 74     0    20   255
 75     0    20   255
 76     0    20   255
 77     0    20   255
 78     0    20   255
 79     5    78   255
 80     5    78   255
 81     5    78   255
 82     5    78   255
 83     5    78   255
 84     5    78   255
 85     5    78   255
 86     5    78   255
 87     5    78   255
 88     5    78   255
 89     5    78   255
 90     5    78   255
 91     0   130   254
 92     0   130   254
 93     0   130   254
 94     0   130   254
 95     0   130   254
 96     0   130   254
 97     5   169   255
 98     5   169   255
 99     5   169   255
100     5   169   255
101     5   169   255
102     5   169   255
103     0   199   253
104     0   199   253
105     0   199   253
106     0   199   253
107     0   199   253
108     0   199   253
109     3   229   254
110     3   229   254
111     3   229   254
112     3   229   254
113     3   229   254
114     3   229   254
115     0   231   191
116     0   231   191
117     0   231   191
118     0   231   191
119     0   231   191
120     0   231   191
121     0   255    96
122     0   255    96
123     0   255    96
124     0   255    96
125     0   255    96
126     0   255    96
127   126   255     5
128   126   255     5
129   126   255     5
130   126   255     5
131   126   255     5
132   126   255     5
133   198   250     0
134   198   250     0
135   198   250     0
136   198   250     0
137   198   250     0
138   198   250     0
139   255   255     0
140   255   255     0
141   255   255     0
142   255   255     0
143   255   255     0
144   255   255     0
145   255   229     0
146   255   229     0
147   255   229     0
148   255   229     0
149   255   229     0
150   255   229     0
151   254   198     0
152   254   198     0
153   254   198     0
154   254   198     0
155   254   198     0
156   254   198     0
157   255   170     7
158   255   170     7
159   255   170     7
160   255   170     7
161   255   170     7
162   255   170     7
163   255   140     6
164   255   140     6
165   255   140     6
166   255   140     6
167   255   140     6
168   255   140     6
169   255   110     1
170   255   110     1
171   255   110     1
172   255   110     1
173   255   110     1
174   255   110     1
175   254    70     0
176   254    70     0
177   254    70     0
178   254    70     0
179   254    70     0
180   254    70     0
181   253     0     0
182   253     0     0
183   253     0     0
184   253     0     0
185   253     0     0
186   253     0     0
187   235     0     3
188   235     0     3
189   235     0     3
190   235     0     3
191   235     0     3
192   235     0     3
193   210     0     1
194   210     0     1
195   210     0     1
196   210     0     1
197   210     0     1
198   210     0     1
199   180     0     1
200   180     0     1
201   180     0     1
202   180     0     1
203   180     0     1
204   180     0     1
205   180     0     1
206   180     0     1
207   180     0     1
208   180     0     1
209   180     0     1
210   180     0     1
211   150     0     1
212   150     0     1
213   150     0     1
214   150     0     1
215   150     0     1
216   150     0     1
217   150     0     1
218   150     0     1
219   150     0     1
220   150     0     1
221   150     0     1
222   120     0     1
223   120     0     1
224   120     0     1
225   120     0     1
226   120     0     1
227   120     0     1
228   120     0     1
229   120     0     1
230   120     0     1
231   120     0     1
232   120     0     1
233    91     1     1
234    91     1     1
235    91     1     1
236    91     1     1
237    91     1     1
238    91     1     1
239    91     1     1
240    91     1     1
241    91     1     1
242    91     1     1
243    91     1     1
244    50     0     1
245    50     0     1
246    50     0     1
247    50     0     1
248    50     0     1
249    50     0     1
250    50     0     1
251    50     0     1
252    50     0     1
253    50     0     1
254    50     0     1
255    50     0     1
