#idx   R   G   B
0 0 0 0
1 255 255 255
2 254 254 254
3 253 253 253
4 252 252 252
5 251 251 251
6 250 250 250
7 249 249 249
8 248 248 248
9 247 247 247
10 246 246 246
11 245 245 245
12 244 244 244
13 243 243 243
14 242 242 242
15 241 241 241
16 240 240 240
17 239 239 239
18 238 238 238
19 237 237 237
20 236 236 236
21 235 235 235
22 234 234 234
23 233 233 233
24 232 232 232
25 231 231 231
26 230 230 230
27 229 229 229
28 228 228 228
29 227 227 227
30 226 226 226
31 225 225 225
32 224 224 224
33 223 223 223
34 222 222 222
35 221 221 221
36 220 220 220
37 219 219 219
38 218 218 218
39 217 217 217
40 216 216 216
41 215 215 215
42 214 214 214
43 213 213 213
44 212 212 212
45 211 211 211
46 210 210 210
47 209 209 209
48 208 208 208
49 207 207 207
50 206 206 206
51 205 205 205
52 204 204 204
53 203 203 203
54 202 202 202
55 201 201 201
56 200 200 200
57 199 199 199
58 198 198 198
59 197 197 197
60 196 196 196
61 195 195 195
62 194 194 194
63 193 193 193
64 192 192 192
65 191 191 191
66 190 190 190
67 189 189 189
68 188 188 188
69 187 187 187
70 186 186 186
71 185 185 185
72 184 184 184
73 183 183 183
74 182 182 182
75 181 181 181
76 180 180 180
77 179 179 179
78 178 178 178
79 177 177 177
80 176 176 176
81 175 175 175
82 174 174 174
83 173 173 173
84 172 172 172
85 171 171 171
86 170 170 170
87 169 169 169
88 168 168 168
89 167 167 167
90 166 166 166
91 165 165 165
92 164 164 164
93 163 163 163
94 162 162 162
95 161 161 161
96 160 160 160
97 159 159 159
98 158 158 158
99 157 157 157
100 156 156 156
101 155 155 155
102 154 154 154
103 153 153 153
104 152 152 152
105 151 151 151
106 150 150 150
107 149 149 149
108 148 148 148
109 147 147 147
110 146 146 146
111 145 145 145
112 144 144 144
113 143 143 143
114 142 142 142
115 141 141 141
116 140 140 140
117 139 139 139
118 138 138 138
119 137 137 137
120 136 136 136
121 135 135 135
122 134 134 134
123 133 133 133
124 132 132 132
125 131 131 131
126 130 130 130
127 129 129 129
128 128 128 128
129 127 127 127
130 126 126 126
131 125 125 125
132 124 124 124
133 123 123 123
134 122 122 122
135 121 121 121
136 120 120 120
137 119 119 119
138 118 118 118
139 117 117 117
140 116 116 116
141 115 115 115
142 114 114 114
143 113 113 113
144 112 112 112
145 111 111 111
146 110 110 110
147 109 109 109
148 108 108 108
149 107 107 107
150 106 106 106
151 105 105 105
152 104 104 104
153 103 103 103
154 102 102 102
155 101 101 101
156 100 100 100
157 99 99 99
158 98 98 98
159 97 97 97
160 96 96 96
161 95 95 95
162 94 94 94
163 93 93 93
164 92 92 92
165 91 91 91
166 90 90 90
167 89 89 89
168 88 88 88
169 87 87 87
170 86 86 86
171 85 85 85
172 84 84 84
173 83 83 83
174 82 82 82
175 81 81 81
176 80 80 80
177 79 79 79
178 78 78 78
179 77 77 77
180 76 76 76
181 75 75 75
182 74 74 74
183 73 73 73
184 72 72 72
185 71 71 71
186 70 70 70
187 69 69 69
188 68 68 68
189 67 67 67
190 66 66 66
191 65 65 65
192 64 64 64
193 63 63 63
194 62 62 62
195 61 61 61
196 60 60 60
197 59 59 59
198 58 58 58
199 57 57 57
200 56 56 56
201 55 55 55
202 54 54 54
203 53 53 53
204 52 52 52
205 51 51 51
206 50 50 50
207 49 49 49
208 48 48 48
209 47 47 47
210 46 46 46
211 45 45 45
212 44 44 44
213 43 43 43
214 42 42 42
215 41 41 41
216 40 40 40
217 39 39 39
218 38 38 38
219 37 37 37
220 36 36 36
221 35 35 35
222 34 34 34
223 33 33 33
224 32 32 32
225 31 31 31
226 30 30 30
227 29 29 29
228 28 28 28
229 27 27 27
230 26 26 26
231 25 25 25
232 24 24 24
233 23 23 23
234 22 22 22
235 21 21 21
236 20 20 20
237 19 19 19
238 18 18 18
239 17 17 17
240 16 16 16
241 15 15 15
242 14 14 14
243 13 13 13
244 12 12 12
245 11 11 11
246 10 10 10
247 9 9 9
248 8 8 8
249 7 7 7
250 6 6 6
251 5 5 5
252 4 4 4
253 3 3 3
254 2 2 2
255 1 1 1
