#idx   R   G   B
0 0 0 0
1 227 217 193
2 227 217 193
3 227 217 193
4 227 217 193
5 227 217 193
6 227 217 193
7 227 217 193
8 227 217 193
9 227 217 193
10 227 217 193
11 227 217 193
12 227 217 193
13 227 217 193
14 227 217 193
15 227 217 193
16 185 158 102
17 185 158 102
18 185 158 102
19 185 158 102
20 185 158 102
21 185 158 102
22 185 158 102
23 185 158 102
24 185 158 102
25 185 158 102
26 185 158 102
27 185 158 102
28 185 158 102
29 185 158 102
30 166 140 54
31 166 140 54
32 166 140 54
33 166 140 54
34 166 140 54
35 166 140 54
36 166 140 54
37 166 140 54
38 166 140 54
39 166 140 54
40 166 140 54
41 166 140 54
42 166 140 54
43 166 140 54
44 166 140 54
45 125 94 1
46 125 94 1
47 125 94 1
48 125 94 1
49 125 94 1
50 125 94 1
51 125 94 1
52 125 94 1
53 125 94 1
54 125 94 1
55 125 94 1
56 125 94 1
57 125 94 1
58 125 94 1
59 125 94 1
60 138 138 0
61 138 138 0
62 138 138 0
63 138 138 0
64 138 138 0
65 138 138 0
66 138 138 0
67 138 138 0
68 138 138 0
69 138 138 0
70 138 138 0
71 138 138 0
72 138 138 0
73 138 138 0
74 138 138 0
75 125 156 43
76 125 156 43
77 125 156 43
78 125 156 43
79 125 156 43
80 125 156 43
81 125 156 43
82 125 156 43
83 125 156 43
84 125 156 43
85 125 156 43
86 125 156 43
87 125 156 43
88 125 156 43
89 125 156 43
90 149 181 18
91 149 181 18
92 149 181 18
93 149 181 18
94 149 181 18
95 149 181 18
96 149 181 18
97 149 181 18
98 149 181 18
99 149 181 18
100 149 181 18
101 149 181 18
102 149 181 18
103 149 181 18
104 149 181 18
105 116 170 0
106 116 170 0
107 116 170 0
108 116 170 0
109 116 170 0
110 116 170 0
111 116 170 0
112 116 170 0
113 116 170 0
114 116 170 0
115 116 170 0
116 116 170 0
117 116 170 0
118 116 170 0
119 116 170 0
120 102 161 0
121 102 161 0
122 102 161 0
123 102 161 0
124 102 161 0
125 102 161 0
126 102 161 0
127 102 161 0
128 102 161 0
129 102 161 0
130 102 161 0
131 102 161 0
132 102 161 0
133 102 161 0
134 102 161 0
135 82 148 0
136 82 148 0
137 82 148 0
138 82 148 0
139 82 148 0
140 82 148 0
141 82 148 0
142 82 148 0
143 82 148 0
144 82 148 0
145 82 148 0
146 82 148 0
147 82 148 0
148 82 148 0
149 82 148 0
150 60 134 0
151 60 134 0
152 60 134 0
153 60 134 0
154 60 134 0
155 60 134 0
156 60 134 0
157 60 134 0
158 60 134 0
159 60 134 0
160 60 134 0
161 60 134 0
162 60 134 0
163 60 134 0
164 60 134 0
165 27 115 0
166 27 115 0
167 27 115 0
168 27 115 0
169 27 115 0
170 27 115 0
171 27 115 0
172 27 115 0
173 27 115 0
174 27 115 0
175 27 115 0
176 27 115 0
177 27 115 0
178 27 115 0
179 27 115 0
180 0 94 0
181 0 94 0
182 0 94 0
183 0 94 0
184 0 94 0
185 0 94 0
186 0 94 0
187 0 94 0
188 0 94 0
189 0 94 0
190 0 94 0
191 0 94 0
192 0 94 0
193 0 94 0
194 0 94 0
195 0 72 0
196 0 72 0
197 0 72 0
198 0 72 0
199 0 72 0
200 0 72 0
201 0 72 0
202 0 72 0
203 0 72 0
204 0 72 0
205 0 72 0
206 0 72 0
207 0 72 0
208 0 72 0
209 0 72 0
210 1 55 0
211 1 55 0
212 1 55 0
213 1 55 0
214 1 55 0
215 1 55 0
216 1 55 0
217 1 55 0
218 1 55 0
219 1 55 0
220 1 55 0
221 1 55 0
222 1 55 0
223 1 55 0
224 1 55 0
225 0 41 0
226 0 41 0
227 0 41 0
228 0 41 0
229 0 41 0
230 0 41 0
231 0 41 0
232 0 41 0
233 0 41 0
234 0 41 0
235 0 41 0
236 0 41 0
237 0 41 0
238 0 41 0
239 0 41 0
240 0 18 0
241 0 18 0
242 0 18 0
243 0 18 0
244 0 18 0
245 0 18 0
246 0 18 0
247 0 18 0
248 0 18 0
249 0 18 0
250 0 18 0
251 0 18 0
252 0 18 0
253 0 18 0
254 0 18 0
255 0 18 0
