#idx   R   G   B
   0     0     0   0
     1     0     0   143
     2     0     0   143
     3     0     0   143
     4     0     0   159
     5     0     0   159
     6     0     0   159
     7     0     0   159
     8     0     0   175
     9     0     0   175
    10     0     0   175
    11     0     0   175
    12     0     0   191
    13     0     0   191
    14     0     0   191
    15     0     0   191
    16     0     0   207
    17     0     0   207
    18     0     0   207
    19     0     0   207
    20     0     0   223
    21     0     0   223
    22     0     0   223
    23     0     0   223
    24     0     0   239
    25     0     0   239
    26     0     0   239
    27     0     0   239
    28     0     0   255
    29     0     0   255
    30     0     0   255
    31     0     0   255
    32     0    16   255
    33     0    16   255
    34     0    16   255
    35     0    16   255
    36     0    32   255
    37     0    32   255
    38     0    32   255
    39     0    32   255
    40     0    48   255
    41     0    48   255
    42     0    48   255
    43     0    48   255
    44     0    64   255
    45     0    64   255
    46     0    64   255
    47     0    64   255
    48     0    80   255
    49     0    80   255
    50     0    80   255
    51     0    80   255
    52     0    96   255
    53     0    96   255
    54     0    96   255
    55     0    96   255
    56     0   112   255
    57     0   112   255
    58     0   112   255
    59     0   112   255
    60     0   128   255
    61     0   128   255
    62     0   128   255
    63     0   128   255
    64     0   143   255
    65     0   143   255
    66     0   143   255
    67     0   143   255
    68     0   159   255
    69     0   159   255
    70     0   159   255
    71     0   159   255
    72     0   175   255
    73     0   175   255
    74     0   175   255
    75     0   175   255
    76     0   191   255
    77     0   191   255
    78     0   191   255
    79     0   191   255
    80     0   207   255
    81     0   207   255
    82     0   207   255
    83     0   207   255
    84     0   223   255
    85     0   223   255
    86     0   223   255
    87     0   223   255
    88     0   239   255
    89     0   239   255
    90     0   239   255
    91     0   239   255
    92     0   255   255
    93     0   255   255
    94     0   255   255
    95     0   255   255
    96    16   255   239
    97    16   255   239
    98    16   255   239
    99    16   255   239
   100    32   255   223
   101    32   255   223
   102    32   255   223
   103    32   255   223
   104    48   255   207
   105    48   255   207
   106    48   255   207
   107    48   255   207
   108    64   255   191
   109    64   255   191
   110    64   255   191
   111    64   255   191
   112    80   255   175
   113    80   255   175
   114    80   255   175
   115    80   255   175
   116    96   255   159
   117    96   255   159
   118    96   255   159
   119    96   255   159
   120   112   255   143
   121   112   255   143
   122   112   255   143
   123   112   255   143
   124   128   255   128
   125   128   255   128
   126   128   255   128
   127   128   255   128
   128   143   255   112
   129   143   255   112
   130   143   255   112
   131   143   255   112
   132   159   255    96
   133   159   255    96
   134   159   255    96
   135   159   255    96
   136   175   255    80
   137   175   255    80
   138   175   255    80
   139   175   255    80
   140   191   255    64
   141   191   255    64
   142   191   255    64
   143   191   255    64
   144   207   255    48
   145   207   255    48
   146   207   255    48
   147   207   255    48
   148   223   255    32
   149   223   255    32
   150   223   255    32
   151   223   255    32
   152   239   255    16
   153   239   255    16
   154   239   255    16
   155   239   255    16
   156   255   255     0
   157   255   255     0
   158   255   255     0
   159   255   255     0
   160   255   239     0
   161   255   239     0
   162   255   239     0
   163   255   239     0
   164   255   223     0
   165   255   223     0
   166   255   223     0
   167   255   223     0
   168   255   207     0
   169   255   207     0
   170   255   207     0
   171   255   207     0
   172   255   191     0
   173   255   191     0
   174   255   191     0
   175   255   191     0
   176   255   175     0
   177   255   175     0
   178   255   175     0
   179   255   175     0
   180   255   159     0
   181   255   159     0
   182   255   159     0
   183   255   159     0
   184   255   143     0
   185   255   143     0
   186   255   143     0
   187   255   143     0
   188   255   128     0
   189   255   128     0
   190   255   128     0
   191   255   128     0
   192   255   112     0
   193   255   112     0
   194   255   112     0
   195   255   112     0
   196   255    96     0
   197   255    96     0
   198   255    96     0
   199   255    96     0
   200   255    80     0
   201   255    80     0
   202   255    80     0
   203   255    80     0
   204   255    64     0
   205   255    64     0
   206   255    64     0
   207   255    64     0
   208   255    48     0
   209   255    48     0
   210   255    48     0
   211   255    48     0
   212   255    32     0
   213   255    32     0
   214   255    32     0
   215   255    32     0
   216   255    16     0
   217   255    16     0
   218   255    16     0
   219   255    16     0
   220   255     0     0
   221   255     0     0
   222   255     0     0
   223   255     0     0
   224   239     0     0
   225   239     0     0
   226   239     0     0
   227   239     0     0
   228   223     0     0
   229   223     0     0
   230   223     0     0
   231   223     0     0
   232   207     0     0
   233   207     0     0
   234   207     0     0
   235   207     0     0
   236   191     0     0
   237   191     0     0
   238   191     0     0
   239   191     0     0
   240   175     0     0
   241   175     0     0
   242   175     0     0
   243   175     0     0
   244   159     0     0
   245   159     0     0
   246   159     0     0
   247   159     0     0
   248   143     0     0
   249   143     0     0
   250   143     0     0
   251   143     0     0
   252   128     0     0
   253   128     0     0
   254   128     0     0
   255   128     0     0
