    #idx   R   G   B
     0     0     0     0
     1   255   255   255
     2   255   255   255
     3   255   255   255
     4   255   255   255
     5   255   255   255
     6   255   255   255
     7   255   255   255
     8   249   242   255
     9   249   242   255
    10   249   242   255
    11   249   242   255
    12   243   230   255
    13   243   230   255
    14   243   230   255
    15   243   230   255
    16   237   217   255
    17   237   217   255
    18   237   217   255
    19   237   217   255
    20   230   204   255
    21   230   204   255
    22   230   204   255
    23   230   204   255
    24   224   192   255
    25   224   192   255
    26   224   192   255
    27   224   192   255
    28   218   179   255
    29   218   179   255
    30   218   179   255
    31   218   179   255
    32   215   180   255
    33   215   180   255
    34   215   180   255
    35   215   180   255
    36   213   181   255
    37   213   181   255
    38   213   181   255
    39   213   181   255
    40   210   182   255
    41   210   182   255
    42   210   182   255
    43   210   182   255
    44   207   183   255
    45   207   183   255
    46   207   183   255
    47   207   183   255
    48   204   184   255
    49   204   184   255
    50   204   184   255
    51   204   184   255
    52   193   188   255
    53   193   188   255
    54   193   188   255
    55   193   188   255
    56   182   192   255
    57   182   192   255
    58   182   192   255
    59   182   192   255
    60   170   196   255
    61   170   196   255
    62   170   196   255
    63   170   196   255
    64   159   200   255
    65   159   200   255
    66   159   200   255
    67   159   200   255
    68   148   204   255
    69   148   204   255
    70   148   204   255
    71   148   204   255
    72   136   208   255
    73   136   208   255
    74   136   208   255
    75   136   208   255
    76   125   211   255
    77   125   211   255
    78   125   211   255
    79   125   211   255
    80   114   215   255
    81   114   215   255
    82   114   215   255
    83   114   215   255
    84   102   219   255
    85   102   219   255
    86   102   219   255
    87   102   219   255
    88    91   223   255
    89    91   223   255
    90    91   223   255
    91    91   223   255
    92    79   227   255
    93    79   227   255
    94    79   227   255
    95    79   227   255
    96    68   231   255
    97    68   231   255
    98    68   231   255
    99    68   231   255
   100    57   235   255
   101    57   235   255
   102    57   235   255
   103    57   235   255
   104    45   239   255
   105    45   239   255
   106    45   239   255
   107    45   239   255
   108    34   243   255
   109    34   243   255
   110    34   243   255
   111    34   243   255
   112    23   247   255
   113    23   247   255
   114    23   247   255
   115    23   247   255
   116    11   251   255
   117    11   251   255
   118    11   251   255
   119    11   251   255
   120     0   255   255
   121     0   255   255
   122     0   255   255
   123     0   255   255
   124     0   255   235
   125     0   255   235
   126     0   255   235
   127     0   255   235
   128     0   255   216
   129     0   255   216
   130     0   255   216
   131     0   255   216
   132     0   255   196
   133     0   255   196
   134     0   255   196
   135     0   255   196
   136     0   255   177
   137     0   255   177
   138     0   255   177
   139     0   255   177
   140     0   255   157
   141     0   255   157
   142     0   255   157
   143     0   255   157
   144     0   255   137
   145     0   255   137
   146     0   255   137
   147     0   255   137
   148     0   255   118
   149     0   255   118
   150     0   255   118
   151     0   255   118
   152     0   255    98
   153     0   255    98
   154     0   255    98
   155     0   255    98
   156     0   255    78
   157     0   255    78
   158     0   255    78
   159     0   255    78
   160     0   255    59
   161     0   255    59
   162     0   255    59
   163     0   255    59
   164     0   255    39
   165     0   255    39
   166     0   255    39
   167     0   255    39
   168     0   255    20
   169     0   255    20
   170     0   255    20
   171     0   255    20
   172     0   255     0
   173     0   255     0
   174     0   255     0
   175     0   255     0
   176    23   255     0
   177    23   255     0
   178    23   255     0
   179    23   255     0
   180    46   255     0
   181    46   255     0
   182    46   255     0
   183    46   255     0
   184    70   255     0
   185    70   255     0
   186    70   255     0
   187    70   255     0
   188    93   255     0
   189    93   255     0
   190    93   255     0
   191    93   255     0
   192   116   255     0
   193   116   255     0
   194   116   255     0
   195   116   255     0
   196   139   255     0
   197   139   255     0
   198   139   255     0
   199   139   255     0
   200   162   255     0
   201   162   255     0
   202   162   255     0
   203   162   255     0
   204   185   255     0
   205   185   255     0
   206   185   255     0
   207   185   255     0
   208   209   255     0
   209   209   255     0
   210   209   255     0
   211   209   255     0
   212   232   255     0
   213   232   255     0
   214   232   255     0
   215   232   255     0
   216   255   255     0
   217   255   255     0
   218   255   255     0
   219   255   255     0
   220   255   229     0
   221   255   229     0
   222   255   229     0
   223   255   229     0
   224   255   203     0
   225   255   203     0
   226   255   203     0
   227   255   203     0
   228   255   177     0
   229   255   177     0
   230   255   177     0
   231   255   177     0
   232   255   151     0
   233   255   151     0
   234   255   151     0
   235   255   151     0
   236   255   125     0
   237   255   125     0
   238   255   125     0
   239   255   125     0
   240   255    99     0
   241   255    99     0
   242   255    99     0
   243   255    99     0
   244   255    73     0
   245   255    73     0
   246   255    73     0
   247   255    73     0
   248   216    41     0
   249   216    41     0
   250   216    41     0
   251   216    41     0
   252   255     0     0
   253   255     0     0
   254   255     0     0
   255   255     0     0
