#idx   R   G   B
  0    0   0   0
  1  108 166 205
  2   99   9 139
  3  112   7 171
  4  124   7 202
  5  130   7 223
  6  128   7 234
  7  120   7 238
  8  110   7 238
  9  100   7 239
 10   88   7 239
 11   73   7 239
 12   54   7 239
 13   34   8 238
 14   18   8 236
 15   11   8 233
 16    8   8 228
 17    8   8 224
 18    8   8 221
 19    8   8 217
 20    8   8 212
 21    8   8 207
 22    8   8 201
 23    8   8 196
 24    8   8 191
 25    8   8 185
 26    8   8 179
 27    8   8 173
 28    8   8 166
 29    8   8 159
 30    8   8 153
 31    8  11 147
 32    8  16 139
 33    8  23 130
 34    8  30 121
 35    8  38 114
 36    8  46 109
 37    8  54 106
 38    8  62 104
 39    8  70 104
 40    8  78 104
 41    8  86 106
 42    8  93 107
 43    8  98 109
 44    8 100 112
 45    8  99 114
 46    8  98 117
 47    8  97 122
 48    8  98 130
 49    8 101 139
 50    8 104 147
 51    8 108 152
 52    8 113 155
 53    8 118 157
 54    8 123 158
 55    8 128 159
 56    8 133 159
 57    8 136 160
 58    8 140 162
 59    8 145 163
 60    8 150 165
 61    8 156 166
 62    8 161 167
 63    8 166 169
 64    8 172 172
 65    8 177 177
 66    8 182 182
 67    8 187 187
 68    8 192 192
 69    8 197 197
 70    8 200 200
 71    8 204 204
 72    8 209 209
 73    8 213 213
 74    8 216 216
 75    8 219 219
 76    8 222 222
 77    8 225 225
 78    8 227 227
 79    8 230 230
 80    8 233 233
 81    8 235 235
 82    8 237 236
 83    8 238 234
 84    8 238 229
 85    8 238 223
 86    8 237 216
 87    8 235 209
 88    8 234 202
 89    8 232 192
 90    8 231 178
 91    8 230 162
 92    8 229 147
 93    8 227 133
 94    8 226 123
 95    8 224 116
 96    8 221 114
 97    8 219 114
 98    8 216 115
 99    8 213 117
100    8 209 118
101    8 204 118
102    8 199 117
103    8 193 115
104    8 188 112
105    8 184 107
106    8 181  99
107    8 178  91
108    8 175  84
109    8 172  81
110    8 169  80
111    8 164  80
112    8 159  80
113    8 153  80
114    8 148  79
115    8 143  79
116    8 138  79
117    8 134  78
118    8 132  75
119    8 134  70
120    8 137  63
121    8 140  56
122    8 140  48
123    8 139  37
124    9 138  24
125   14 139  14
126   24 141   9
127   37 146   8
128   47 151   8
129   52 156   8
130   55 161   8
131   57 166   8
132   60 172   8
133   65 177   8
134   70 182   8
135   75 187   8
136   80 192   8
137   85 196   8
138   89 199   8
139   95 201   8
140  103 204   8
141  110 206   8
142  118 209   8
143  126 211   8
144  134 214   8
145  142 217   8
146  151 219   8
147  160 222   8
148  169 225   8
149  179 227   8
150  187 229   8
151  195 230   8
152  205 230   8
153  215 230   8
154  223 229   8
155  226 227   8
156  225 224   8
157  224 221   8
158  224 217   8
159  224 211   8
160  224 205   8
161  224 198   8
162  224 191   8
163  224 185   8
164  224 180   8
165  224 174   8
166  224 166   8
167  224 159   8
168  224 151   8
169  224 143   8
170  224 135   8
171  224 127   8
172  224 119   8
173  224 111   8
174  224 103   8
175  224  95   8
176  224  89   8
177  224  84   8
178  224  78   8
179  223  70   8
180  223  63   8
181  223  55   8
182  222  46   8
183  221  37   8
184  219  28   8
185  216  19   8
186  213  12   8
187  209   9   8
188  204   8   8
189  200   8   8
190  196   8   8
191  190   8   8
192  182   8   8
193  175   8   8
194  167   8   8
195  159   8   8
196  151   8   8
197  143   8   8
198  135   8   8
199  127   8   8
200  120   8   8
201  115   8   8
202  110   8   8
203  104   8   8
204  108  13  13
205  112  19  19
206  114  22  22
207  115  26  26
208  118  30  30
209  119  34  33
210  121  38  38
211  123  41  41
212  125  45  45
213  127  49  49
214  128  52  53
215  130  56  56
216  132  60  60
217  134  64  63
218  136  67  67
219  138  71  70
220  140  75  74
221  142  79  78
222  143  82  82
223  145  85  85
224  147  89  90
225  149  93  93
226  150  97  97
227  152 100 100
228  154 104 104
229  156 107 108
230  158 112 111
231  160 115 115
232  162 119 119
233  164 123 123
234  165 126 126
235  168 130 130
236  169 134 134
237  170 138 137
238  173 141 141
239  175 145 145
240  176 149 149
241  178 153 153
242  181 156 156
243  182 159 159
244  183 163 163
245  185 167 167
246  188 170 171
247  190 174 174
248  191 178 178
249  193 182 182
250  195 185 185
251  197 189 189
252  199 192 193
253  200 197 197
254  202 200 201
255  204 204 204
