#idx   R   G   B
0 0 0 0
1 10 0 10
2 10 0 10
3 10 0 10
4 10 0 10
5 10 0 10
6 10 0 10
7 10 0 10
8 10 0 10
9 10 0 10
10 10 0 10
11 10 0 10
12 10 0 10
13 10 0 10
14 10 0 10
15 10 0 10
16 10 0 10
17 90 0 90
18 90 0 90
19 90 0 90
20 90 0 90
21 90 0 90
22 90 0 90
23 90 0 90
24 90 0 90
25 90 0 90
26 90 0 90
27 90 0 90
28 90 0 90
29 90 0 90
30 90 0 90
31 90 0 90
32 90 0 90
33 140 0 140
34 140 0 140
35 140 0 140
36 140 0 140
37 140 0 140
38 140 0 140
39 140 0 140
40 140 0 140
41 140 0 140
42 140 0 140
43 140 0 140
44 140 0 140
45 140 0 140
46 140 0 140
47 140 0 140
48 140 0 140
49 96 25 227
50 96 25 227
51 96 25 227
52 96 25 227
53 96 25 227
54 96 25 227
55 96 25 227
56 96 25 227
57 96 25 227
58 96 25 227
59 96 25 227
60 96 25 227
61 96 25 227
62 96 25 227
63 96 25 227
64 96 25 227
65 15 35 255
66 15 35 255
67 15 35 255
68 15 35 255
69 15 35 255
70 15 35 255
71 15 35 255
72 15 35 255
73 15 35 255
74 15 35 255
75 15 35 255
76 15 35 255
77 15 35 255
78 15 35 255
79 15 35 255
80 15 35 255
81 0 120 235
82 0 120 235
83 0 120 235
84 0 120 235
85 0 120 235
86 0 120 235
87 0 120 235
88 0 120 235
89 0 120 235
90 0 120 235
91 0 120 235
92 0 120 235
93 0 120 235
94 0 120 235
95 0 120 235
96 0 120 235
97 0 191 194
98 0 191 194
99 0 191 194
100 0 191 194
101 0 191 194
102 0 191 194
103 0 191 194
104 0 191 194
105 0 191 194
106 0 191 194
107 0 191 194
108 0 191 194
109 0 191 194
110 0 191 194
111 0 191 194
112 0 191 194
113 0 255 255
114 0 255 255
115 0 255 255
116 0 255 255
117 0 255 255
118 0 255 255
119 0 255 255
120 0 255 255
121 0 255 255
122 0 255 255
123 0 255 255
124 0 255 255
125 0 255 255
126 0 255 255
127 0 255 255
128 0 255 255
129 114 255 53
130 114 255 53
131 114 255 53
132 114 255 53
133 114 255 53
134 114 255 53
135 114 255 53
136 114 255 53
137 114 255 53
138 114 255 53
139 114 255 53
140 114 255 53
141 114 255 53
142 114 255 53
143 114 255 53
144 114 255 53
145 0 255 0
146 0 255 0
147 0 255 0
148 0 255 0
149 0 255 0
150 0 255 0
151 0 255 0
152 0 255 0
153 0 255 0
154 0 255 0
155 0 255 0
156 0 255 0
157 0 255 0
158 0 255 0
159 0 255 0
160 0 255 0
161 195 234 12
162 195 234 12
163 195 234 12
164 195 234 12
165 195 234 12
166 195 234 12
167 195 234 12
168 195 234 12
169 195 234 12
170 195 234 12
171 195 234 12
172 195 234 12
173 195 234 12
174 195 234 12
175 195 234 12
176 195 234 12
177 255 255 0
178 255 255 0
179 255 255 0
180 255 255 0
181 255 255 0
182 255 255 0
183 255 255 0
184 255 255 0
185 255 255 0
186 255 255 0
187 255 255 0
188 255 255 0
189 255 255 0
190 255 255 0
191 255 255 0
192 255 255 0
193 255 155 0
194 255 155 0
195 255 155 0
196 255 155 0
197 255 155 0
198 255 155 0
199 255 155 0
200 255 155 0
201 255 155 0
202 255 155 0
203 255 155 0
204 255 155 0
205 255 155 0
206 255 155 0
207 255 155 0
208 255 155 0
209 206 43 0
210 206 43 0
211 206 43 0
212 206 43 0
213 206 43 0
214 206 43 0
215 206 43 0
216 206 43 0
217 206 43 0
218 206 43 0
219 206 43 0
220 206 43 0
221 206 43 0
222 206 43 0
223 206 43 0
224 206 43 0
225 125 20 22
226 125 20 22
227 125 20 22
228 125 20 22
229 125 20 22
230 125 20 22
231 125 20 22
232 125 20 22
233 125 20 22
234 125 20 22
235 125 20 22
236 125 20 22
237 125 20 22
238 125 20 22
239 125 20 22
240 125 20 22
241 55 10 10
242 55 10 10
243 55 10 10
244 55 10 10
245 55 10 10
246 55 10 10
247 55 10 10
248 55 10 10
249 55 10 10
250 55 10 10
251 55 10 10
252 55 10 10
253 55 10 10
254 55 10 10
255 55 10 10


