#idx   R   G   B
0 0 0 0
1 64 0 128
2 71 26 114
3 79 51 101
4 87 78 88
5 95 103 74
6 103 129 61
7 111 156 47
8 95 157 73
9 80 157 99
10 65 158 125
11 50 160 151
12 35 161 177
13 19 162 203
14 16 177 211
15 13 193 220
16 9 208 228
17 6 223 237
18 3 239 246
19 0 255 255
20 14 255 212
21 28 255 170
22 42 255 127
23 56 255 84
24 70 255 42
25 84 255 0
26 100 254 21
27 116 254 43
28 132 253 65
29 148 253 87
30 164 252 109
31 180 251 130
32 192 252 109
33 204 253 87
34 217 253 65
35 230 254 43
36 242 254 21
37 255 255 0
38 254 245 0
39 254 235 0
40 254 226 0
41 254 216 0
42 254 206 0
43 254 196 0
44 254 185 0
45 254 174 0
46 254 162 0
47 254 151 0
48 254 139 0
49 255 128 0
50 255 106 0
51 255 85 0
52 255 64 0
53 255 42 0
54 255 21 0
55 255 0 0
56 240 14 0
57 226 28 0
58 212 42 0
59 198 56 0
60 184 70 0
61 170 84 0
62 182 86 35
63 194 87 70
64 207 88 106
65 219 90 142
66 231 91 177
67 244 92 213
68 232 77 191
69 220 61 171
70 208 46 149
71 197 31 129
72 185 15 107
73 174 0 87
74 158 0 78
75 142 0 70
76 126 0 63
77 110 0 55
78 94 0 46
79 78 0 38
80 79 0 39
81 79 0 39
82 79 0 39
83 79 0 39
84 79 0 39
85 79 0 39
86 79 0 39
87 79 0 39
88 79 0 39
89 79 0 39
90 79 0 39
91 79 0 39
92 79 0 39
93 79 1 39
94 79 1 39
95 79 1 40
96 79 1 40
97 79 1 40
98 79 1 40
99 80 1 40
100 80 1 40
101 80 1 40
102 80 1 40
103 80 1 40
104 80 1 40
105 80 1 40
106 80 2 40
107 80 2 40
108 80 2 40
109 80 2 40
110 80 2 40
111 80 2 41
112 80 2 41
113 80 2 41
114 80 2 41
115 80 2 41
116 80 2 41
117 80 2 41
118 81 2 41
119 81 2 41
120 81 3 41
121 81 3 41
122 81 3 41
123 81 3 41
124 81 3 41
125 81 3 41
126 81 3 41
127 81 3 42
128 81 3 42
129 81 3 42
130 81 3 42
131 81 3 42
132 81 3 42
133 81 4 42
134 81 4 42
135 81 4 42
136 81 4 42
137 81 4 42
138 82 4 42
139 82 4 42
140 82 4 42
141 82 4 42
142 82 4 42
143 82 4 43
144 82 4 43
145 82 4 43
146 82 4 43
147 82 5 43
148 82 5 43
149 82 5 43
150 82 5 43
151 82 5 43
152 82 5 43
153 82 5 43
154 82 5 43
155 82 5 43
156 82 5 43
157 83 5 43
158 83 5 43
159 83 5 44
160 83 6 44
161 83 6 44
162 83 6 44
163 83 6 44
164 83 6 44
165 83 6 44
166 83 6 44
167 83 6 44
168 83 6 44
169 83 6 44
170 83 6 44
171 83 6 44
172 83 6 44
173 83 6 44
174 83 7 44
175 83 7 45
176 83 7 45
177 84 7 45
178 84 7 45
179 84 7 45
180 84 7 45
181 84 7 45
182 84 7 45
183 84 7 45
184 84 7 45
185 84 7 45
186 84 7 45
187 84 8 45
188 84 8 45
189 84 8 45
190 84 8 45
191 84 8 46
192 84 8 46
193 84 8 46
194 84 8 46
195 84 8 46
196 85 8 46
197 85 8 46
198 85 8 46
199 85 8 46
200 85 8 46
201 85 9 46
202 85 9 46
203 85 9 46
204 85 9 46
205 85 9 46
206 85 9 46
207 85 9 47
208 85 9 47
209 85 9 47
210 85 9 47
211 85 9 47
212 85 9 47
213 85 9 47
214 85 10 47
215 85 10 47
216 86 10 47
217 86 10 47
218 86 10 47
219 86 10 47
220 86 10 47
221 86 10 47
222 86 10 47
223 86 10 48
224 86 10 48
225 86 10 48
226 86 10 48
227 86 10 48
228 86 11 48
229 86 11 48
230 86 11 48
231 86 11 48
232 86 11 48
233 86 11 48
234 86 11 48
235 87 11 48
236 87 11 48
237 87 11 48
238 87 11 48
239 87 11 49
240 87 11 49
241 87 12 49
242 87 12 49
243 87 12 49
244 87 12 49
245 87 12 49
246 87 12 49
247 87 12 49
248 87 12 49
249 87 12 49
250 87 12 49
251 87 12 49
252 87 12 49
253 87 12 49
254 88 13 50
255 88 13 50
