#idx   R   G   B
0 0 0 0
1 0 0 100
2 0 0 100
3 0 0 100
4 0 0 100
5 0 0 100
6 0 0 100
7 0 0 100
8 0 0 100
9 0 0 100
10 0 0 100
11 0 0 100
12 0 0 100
13 0 0 100
14 0 0 100
15 0 0 100
16 0 0 100
17 0 0 100
18 0 0 100
19 0 0 100
20 0 0 100
21 0 0 100
22 0 100 150
23 0 100 150
24 0 100 150
25 0 100 150
26 0 100 150
27 0 100 150
28 0 100 150
29 0 100 150
30 0 100 150
31 0 100 150
32 0 100 150
33 0 100 150
34 0 100 150
35 0 100 150
36 0 100 150
37 0 100 150
38 0 100 150
39 0 100 150
40 0 100 150
41 0 100 150
42 0 100 150
43 100 180 220
44 100 180 220
45 100 180 220
46 100 180 220
47 100 180 220
48 100 180 220
49 100 180 220
50 100 180 220
51 100 180 220
52 100 180 220
53 100 180 220
54 100 180 220
55 100 180 220
56 100 180 220
57 100 180 220
58 100 180 220
59 100 180 220
60 100 180 220
61 100 180 220
62 100 180 220
63 100 180 220
64 235 255 255
65 235 255 255
66 235 255 255
67 235 255 255
68 235 255 255
69 235 255 255
70 235 255 255
71 235 255 255
72 235 255 255
73 235 255 255
74 235 255 255
75 235 255 255
76 235 255 255
77 235 255 255
78 235 255 255
79 235 255 255
80 235 255 255
81 235 255 255
82 235 255 255
83 235 255 255
84 235 255 255
85 255 255 255
86 255 255 255
87 255 255 255
88 255 255 255
89 255 255 255
90 255 255 255
91 255 255 255
92 255 255 255
93 255 255 255
94 255 255 255
95 255 255 255
96 255 255 255
97 255 255 255
98 255 255 255
99 255 255 255
100 255 255 255
101 255 255 255
102 255 255 255
103 255 255 255
104 255 255 255
105 255 255 255
106 220 220 190
107 220 220 190
108 220 220 190
109 220 220 190
110 220 220 190
111 220 220 190
112 220 220 190
113 220 220 190
114 220 220 190
115 220 220 190
116 220 220 190
117 220 220 190
118 220 220 190
119 220 220 190
120 220 220 190
121 220 220 190
122 220 220 190
123 220 220 190
124 220 220 190
125 220 220 190
126 220 220 190
127 200 200 140
128 200 200 140
129 200 200 140
130 200 200 140
131 200 200 140
132 200 200 140
133 200 200 140
134 200 200 140
135 200 200 140
136 200 200 140
137 200 200 140
138 200 200 140
139 200 200 140
140 200 200 140
141 200 200 140
142 200 200 140
143 200 200 140
144 200 200 140
145 200 200 140
146 200 200 140
147 200 200 140
148 170 170 80
149 170 170 80
150 170 170 80
151 170 170 80
152 170 170 80
153 170 170 80
154 170 170 80
155 170 170 80
156 170 170 80
157 170 170 80
158 170 170 80
159 170 170 80
160 170 170 80
161 170 170 80
162 170 170 80
163 170 170 80
164 170 170 80
165 170 170 80
166 170 170 80
167 170 170 80
168 170 170 80
169 255 100 50
170 255 100 50
171 255 100 50
172 255 100 50
173 255 100 50
174 255 100 50
175 255 100 50
176 255 100 50
177 255 100 50
178 255 100 50
179 255 100 50
180 255 100 50
181 255 100 50
182 255 100 50
183 255 100 50
184 255 100 50
185 255 100 50
186 255 100 50
187 255 100 50
188 255 100 50
189 255 100 50
190 220 50 0
191 220 50 0
192 220 50 0
193 220 50 0
194 220 50 0
195 220 50 0
196 220 50 0
197 220 50 0
198 220 50 0
199 220 50 0
200 220 50 0
201 220 50 0
202 220 50 0
203 220 50 0
204 220 50 0
205 220 50 0
206 220 50 0
207 220 50 0
208 220 50 0
209 220 50 0
210 220 50 0
211 160 0 0
212 160 0 0
213 160 0 0
214 160 0 0
215 160 0 0
216 160 0 0
217 160 0 0
218 160 0 0
219 160 0 0
220 160 0 0
221 160 0 0
222 160 0 0
223 160 0 0
224 160 0 0
225 160 0 0
226 160 0 0
227 160 0 0
228 160 0 0
229 160 0 0
230 160 0 0
231 160 0 0
232 40 0 0
233 40 0 0
234 40 0 0
235 40 0 0
236 40 0 0
237 40 0 0
238 40 0 0
239 40 0 0
240 40 0 0
241 40 0 0
242 40 0 0
243 40 0 0
244 40 0 0
245 40 0 0
246 40 0 0
247 40 0 0
248 40 0 0
249 40 0 0
250 40 0 0
251 40 0 0
252 40 0 0
253 40 0 0
254 40 0 0
255 40 0 0


