#idx   R   G   B
0 0 0 0
1 0 168 0
2 0 168 0
3 0 168 0
4 0 168 0
5 0 168 0
6 0 168 0
7 0 168 0
8 0 168 0
9 0 168 0
10 0 168 0
11 0 168 0
12 0 168 0
13 0 168 0
14 0 168 0
15 0 168 0
16 0 168 0
17 0 168 0
18 0 168 0
19 0 168 0
20 0 168 0
21 0 168 0
22 0 168 0
23 0 168 0
24 0 168 0
25 0 168 0
26 0 255 255
27 0 255 255
28 0 255 255
29 0 255 255
30 0 255 255
31 0 255 255
32 0 255 255
33 0 255 255
34 0 255 255
35 0 255 255
36 0 255 255
37 0 255 255
38 0 255 255
39 0 255 255
40 0 255 255
41 0 255 255
42 0 255 255
43 0 255 255
44 0 255 255
45 0 255 255
46 0 255 255
47 0 255 255
48 0 255 255
49 0 255 255
50 0 255 255
51 0 255 255
52 0 255 255
53 0 255 255
54 0 255 255
55 0 255 255
56 0 255 255
57 0 255 255
58 0 255 255
59 0 255 255
60 0 255 255
61 0 255 255
62 0 255 255
63 0 255 255
64 0 255 255
65 0 255 255
66 0 255 255
67 0 255 255
68 0 255 255
69 0 255 255
70 0 255 255
71 0 255 255
72 0 255 255
73 0 255 255
74 0 255 255
75 0 255 255
76 0 255 255
77 0 255 255
78 0 255 255
79 0 255 255
80 0 255 255
81 0 255 255
82 0 255 255
83 0 255 255
84 0 255 255
85 0 255 255
86 0 255 255
87 0 255 255
88 0 255 255
89 0 255 255
90 0 255 255
91 0 255 255
92 0 255 255
93 0 255 255
94 0 255 255
95 0 255 255
96 0 255 255
97 0 255 255
98 0 255 255
99 0 255 255
100 0 255 255
101 0 255 255
102 128 0 255
103 128 0 255
104 128 0 255
105 128 0 255
106 128 0 255
107 128 0 255
108 128 0 255
109 128 0 255
110 128 0 255
111 128 0 255
112 128 0 255
113 128 0 255
114 128 0 255
115 128 0 255
116 128 0 255
117 128 0 255
118 128 0 255
119 128 0 255
120 128 0 255
121 128 0 255
122 128 0 255
123 128 0 255
124 128 0 255
125 128 0 255
126 128 0 255
127 128 0 255
128 128 0 255
129 128 0 255
130 128 0 255
131 128 0 255
132 128 0 255
133 128 0 255
134 128 0 255
135 128 0 255
136 128 0 255
137 128 0 255
138 128 0 255
139 128 0 255
140 128 0 255
141 128 0 255
142 128 0 255
143 128 0 255
144 128 0 255
145 128 0 255
146 128 0 255
147 128 0 255
148 128 0 255
149 128 0 255
150 128 0 255
151 128 0 255
152 128 0 255
153 128 0 255
154 128 0 255
155 128 0 255
156 128 0 255
157 128 0 255
158 128 0 255
159 128 0 255
160 128 0 255
161 128 0 255
162 128 0 255
163 128 0 255
164 128 0 255
165 128 0 255
166 128 0 255
167 128 0 255
168 128 0 255
169 128 0 255
170 128 0 255
171 128 0 255
172 128 0 255
173 128 0 255
174 128 0 255
175 128 0 255
176 128 0 255
177 128 0 255
178 128 0 255
179 128 0 255
180 128 0 255
181 128 0 255
182 128 0 255
183 128 0 255
184 128 0 255
185 128 0 255
186 128 0 255
187 128 0 255
188 128 0 255
189 128 0 255
190 128 0 255
191 128 0 255
192 128 0 255
193 128 0 255
194 128 0 255
195 128 0 255
196 128 0 255
197 128 0 255
198 128 0 255
199 128 0 255
200 128 0 255
201 128 0 255
202 128 0 255
203 128 0 255
204 255 0 0
205 255 0 0
206 255 0 0
207 255 0 0
208 255 0 0
209 255 0 0
210 255 0 0
211 255 0 0
212 255 0 0
213 255 0 0
214 255 0 0
215 255 0 0
216 255 0 0
217 255 0 0
218 255 0 0
219 255 0 0
220 255 0 0
221 255 0 0
222 255 0 0
223 255 0 0
224 255 0 0
225 255 0 0
226 255 0 0
227 255 0 0
228 255 0 0
229 255 0 0
230 255 0 0
231 255 0 0
232 255 0 0
233 255 0 0
234 255 0 0
235 255 0 0
236 255 0 0
237 255 0 0
238 255 0 0
239 255 0 0
240 255 0 0
241 255 0 0
242 255 0 0
243 255 0 0
244 255 0 0
245 255 0 0
246 255 0 0
247 255 0 0
248 255 0 0
249 255 0 0
250 255 0 0
251 255 0 0
252 255 0 0
253 255 0 0
254 255 0 0
255 255 0 0


